time,FLOW,TEMP,SALT,OXY_oxy,CAR_dic,CAR_ch4,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,PHY_cyano,PHY_green,PHY_diatom
2021-07-07,0.003,19.805,0,268.2577,61.479,0,120.9013,0.5438,2.894,0.19,7.0973,95.813,10.291,1.2767,11.4905,2.5535,0.0246,0.2217,0.5748,0,0,0
2021-07-08,0.0035,19.2563,0,271.2333,61.7511,0,120.9013,0.557,2.9217,0.192,7.1766,96.8835,10.406,1.294,11.6461,2.588,0.0249,0.2243,0.5814,0,0,0
2021-07-09,0.0033,19.4602,0,270.1205,62.0231,0,120.9013,0.5702,2.9493,0.194,7.2559,97.9541,10.521,1.3113,11.8017,2.6226,0.0252,0.2268,0.5881,0,0,0
2021-07-10,0.0031,19.4025,0,270.4345,62.2951,0,120.9013,0.5834,2.977,0.196,7.3352,99.0246,10.636,1.3286,11.9573,2.6572,0.0255,0.2294,0.5948,0,0,0
2021-07-11,0.003,19.7338,0,268.6408,62.5672,0,120.9013,0.5966,3.0046,0.1981,7.4145,100.0952,10.751,1.3459,12.1129,2.6918,0.0258,0.232,0.6014,0,0,0
2021-07-12,0.0029,20.3405,0,265.4095,62.8392,0,120.9013,0.6098,3.0323,0.2001,7.4938,101.1657,10.8659,1.3632,12.2685,2.7263,0.0261,0.2346,0.6081,0,0,0
2021-07-13,0.0027,20.5133,0,264.5018,63.4739,0,120.9013,0.579,2.9803,0.2036,7.4938,101.1657,10.8659,1.3198,11.8782,2.6396,0.0257,0.2309,0.5986,0,0,0
2021-07-14,0.0031,20.256,0,265.8552,64.1087,0,120.9013,0.5482,2.9283,0.2071,7.4938,101.1657,10.8659,1.2764,11.4879,2.5529,0.0252,0.2272,0.5891,0,0,0
2021-07-15,0.0029,20.2757,0,265.7512,64.7434,0,120.9013,0.5174,2.8763,0.2106,7.4938,101.1657,10.8659,1.2331,11.0976,2.4661,0.0248,0.2236,0.5796,0,0,0
2021-07-16,0.0026,20.4167,0,265.0088,65.3781,0,120.9013,0.4866,2.8244,0.2141,7.4938,101.1657,10.8659,1.1897,10.7073,2.3794,0.0244,0.2199,0.5701,0,0,0
